NCO_Code,Job_Title
2131.0700,Mycologist
2131.0800,Algologist
2131.0900,"Zoologist, General"
2131.1000,Entomologist
2131.1100,Parasitologist
2131.1200,Bacteriologist
2131.1300,"Chemist, Biological"
2131.1400,"Chemist, Food"
2131.1500,Plant Pathologist
2131.1800,Plant Physiologist
2131.9900,"Biologists, Botanists, Zoologists and Related"
2132.0100,Agronomist
2132.0200,Horticulturist
2132.0300,Soil Scientist
2132.0400,Soil Conservationist
2132.0500,Silviculturist
2132.0600,Wood Anatomist
2132.0700,Dairy Scientist
2132.0800,Poultry Scientist
2132.0900,Pisciculturist
2132.1000,"Farm Overseer, Crop Production"
2132.9900,"Agronomists and Related Professionals, Other"
2133.0100,Ecologist
2133.0200,Environment Scientist (Including Health)
2133.0300,Taxonomist
2133.0400,Paleobotanist
2141.0100,"Works Inspector, Engineering/Inspection"
2141.0200,Instrument Engineer/Instrumentation Engineer
2141.0300,Industrial Engineer
2141.0301,Industrial Engineer Executive
2141.0400,Packaging Engineer
2141.0500,Planning Engineer
2141.0501,Production Planning & Control Engineer
2141.0600,Methods Engineer
2141.0800,Engineering Estimator/Estimation Engineer
2141.0900,Agricultural Engineer
2141.1000,Textile Technologist
2141.1100,Nuclear Engineer
2141.1200,Jute Technologist
2141.1300,Fibre Technologist
2141.1400,Spinning Master
2141.1500,Weaving Master
2141.1600,Dyeing and  Bleaching Master (Textiles)
2141.1700,Printing Master (Textile)
2141.1800,Sugar Technologist
2141.1900,Dairy Technologist
2141.2000,Wood Technologist
2141.2100,Leather Technologist
2141.2200,Glass Technologist
2141.2300,Ceramic Technologist
2141.2400,Printing Technologist
2141.2500,Safety Engineer
2141.2600,Occupational Health and Safety Specialist
2142.0100,"Civil Engineer, General"
2142.0200,"Civil Engineer, Building"
2142.0300,"Civil Engineer, Structural"
2142.0301,Plumbing Site Engineer
2142.0400,"Civil Engineer, Irrigation"
2142.0500,Hydraulic Engineer
2142.0501,Fire Protection Systems Design Engineer
2142.0600,"Civil Engineer, Highways and Roads"
2142.0700,"Civil Engineer, Railways"
2142.0800,Airport Engineer
2142.0900,"Civil Engineer, Public Health"
2142.0901,Public Health System Design Engineer
2142.1000,"Engineer, Waterworks"
2142.1001,Groundwater Engineer
2142.1002,Wastewater Systems Design
2142.9900,"Civil Engineers, Other"
2143.0100,Solar Energy System Designer
2143.0200,Bio-Medical Engineer
2143.0300,Radiation Protection Engineer
2143.0400,"Waste Management Engineer, Radioactive"
2143.0500,Pollution Control Engineer
2144.0100,"Mechanical Engineer, General"
2144.0101,Process Design Engineer
2144.0102,Process Try -Out Engineer
2144.0103,Process Try -Out Technician
2144.0104,Process Validation Executive
2144.0105,"Manager, Process Engineering"
2144.0106,Manager – Product Lifecycle Management
2144.0200,"Designer, Machine"
2144.0201,Designer - Mechanical
2144.0300,Tool Engineer
2144.0301,Equipment Designer
2144.0401,"Mechanical Engineer, Production"
2144.0402,Product Conceptualization Engineer
2144.0403,Production Engineer
2144.0500,"Mechanical Engineer, Structural"
2144.0600,"Mechanical Engineer, Maintenance"
2144.0601,Service Engineer – Breakdown Service
2144.0700,"Mechanical Engineer, Automobile"
2144.0701,Prototyping Engineer
2144.0800,Automobile Designer
2144.0801,Product Design Manager
2144.0802,Modeller
2144.0803,Product Design Engineer
2144.0804,Prototyping Manager
2144.0900,"Mechanical Engineer, Aeronautical"
2144.1000,"Mechanical Engineer, Marine"
2144.1100,"Architect, Naval"
2144.1200,"Mechanical Engineer, Air -Conditioning"
2144.1301,Layout Engineer
2144.1302,Industrial Engineer (Workstation
2144.1401,Service Engineer – Installation
2144.1402,Service Engineer – Installation and
2144.9900,"Mechanical Engineers, Other"
2145.0100,"Chemical Engineer, General"
2145.0200,"Designer, Chemical Engineering"
2145.0300,"Chemical Engineer, Paints and Varnish"
2145.0400,"Chemical Engineer, Drugs and Acids"
2145.0500,"Chemical Engineer, Petroleum"
2145.0600,"Chemical Engineer, Fertilizers"
2145.0700,"Chemical Engineer, Food"
2145.0800,"Technologist, Food/Chemical Engineer"
2145.0900,"Technologist, Fuel"
2145.1000,Oil Technologist
2145.1100,"Technologist, Paper"
2145.1200,"Technologist, Alcohol"
2145.1300,"Technologist, Rubber"
2145.1400,"Technologist, Plastics"
2145.9900,"Chemical Engineers and Technologists, Other"
2146.0100,"Mining Engineer, General"
2146.0200,"Mining Engineer, Non -Metals"
2146.0300,"Mining Engineer, Metal"
2146.0400,"Mining Engineer, Petroleum and Gas"
2146.0500,"Metallurgist, Extractive"
2146.0501,Manager Heat Treatment/Metallurgist
2146.0600,"Metallurgists, Adaptive"
2146.9900,"Mining Engineers, Metallurgists and Related"
2149.0100,"Engineers and Related Technologists, Other"
2151.0100,"Electrical Engineer, General"
2151.0200,"Designer, Electrical Engineering"
2151.0201,Design Engineer
2151.0202,Electrical Design Developer
2151.0300,"Electrical Engineer, Generation and Supply"
2151.0400,Illumination Engineer
2151.0403,LED Light Design Engineer
2151.0404,LED Light Design Validation Engineer
2151.0601,System Analyst (PCB Design)
2151.0602,Systems Designer (PCB Design)
2151.0701,Design -For-Manufacture Engineer
2151.9900,"Electrical Engineers, Other"
2152.0200,Electronic Engineer
2152.0301,Stress Analyst/Computer -Aided Test Executive
2152.0400,Electro -Optical Engineer
2152.0501,Design Engineer
2152.0502,Design -For-Test Engineer
2152.0601,Quality Engineer
2152.0801,Electronic Hardware Design Engineer
2152.0901,Verification Engineer
2152.0902,Testing and Validation Engineer
2152.9900,"Electronics Engineers, Other"
2153.0100,"Telecommunication Engineer, General"
2153.0101,Telecom Terminal Equipment Application
2153.0102,Telecom Terminal Equipment Application (Native
2153.0200,"Radio Engineer, Telecommunication"
2153.0300,"Microwave Engineer, Telecommunication"
2153.0400,"Line Communication Engineer, Tele -"
2153.0500,Sound Engineer
2153.0501,"Sound Engineer, Media"
2153.0511,Sound Designer
2153.0601,Core Engineer
2153.9900,"Telecommunication Engineers, Other"
2161.0100,Architect
2161.9900,"Building Architects, Other"
2163.0100,Package Designer/Packaging Designer
2163.0201,Design Merchandiser
2163.0301,Hand Sketch Designer (Basic)
2163.0400,Furniture Designer
2163.0500,Fashion Designer
2163.0600,Textile Designer
2164.0100,Town Planner
2164.0200,Traffic Planner
2165.0100,Cartographer
2165.0200,"Surveyor, Topographical"
2165.0300,Aerial – Photograph Interpreter
2165.0400,"Surveyor, Photogrammetric"
2165.0500,"Surveyor, Mine"
2165.0600,"Surveyor, Hydrographic"
2165.9900,"Cartographers and Surveyors, Other"
2166.0100,Commercial Artist
2166.0111,Art Director
2166.0201,Multimedia Artist and Animator/Animator
2166.0202,Modeller
2166.0203,Rigging Artist
2166.0204,Texturing Artist
2166.0205,Animation Director
2166.0206,Character Designer
2166.0207,Clean -Up Artist
2166.0208,Compositor
2166.0209,Storyboard Artist
2166.0210,Rendering Artist
2166.0211,VFX Editor
2166.0212,Roto Artist
2166.0300,Web Designer
2166.0401,Designer (CAD)
2166.0501,Graphic Designer
2166.0511,Colour Key Artist
2166.0512,Colourist
2211.0100,"Physician, General"
2211.0200,"Surgeon, General"
2211.0300,"Anatomist, Medical"
2211.0400,Anaesthetist
2211.0500,Psychiatrist
2211.9900,"Generalist Medical Practitioners, Allopathic,"
2212.0100,Neurologist
2212.0200,Dermatologist
2212.0300,Allergy Specialist
2212.0400,"Ear, Nose and Throat Specialist"
2212.0500,Cardiologist
2212.0600,Radiologist
2212.0700,Tuberculosis Specialist
2212.0800,Ophthalmologist
2212.0900,Urologist
2212.1000,Venereologist
2212.1100,Obstetrician
2212.1200,Gynaecologist
2212.1300,Paediatrician
2212.1400,Orthopaedist
2212.1500,Pharmacologist
2212.1600,Toxicologist (Pharmaceutical)
2212.1700,"Pathologist, Medical"
2212.1800,"Malariologist, Medical"
2212.1900,"Physiologist, Medical"
2212.9900,"Specialist Medical Practitioners, Other"
2221.0100,"Nurse, Specialist"
2221.9900,"Professional Nurses, Other"
2230.0100,"Physician, Ayurvedic"
2230.0200,"Physician, Homeopathic"
2230.0300,"Physician, Bio -Chemic/Bio Chemist"
2230.0400,"Physician, Unani"
2230.9900,"Traditional Medicine Practitioners, Other"
2240.0100,"Laboratory Assistant, Clinical"
2240.0400,Dresser
2240.0501,Emergency Medical Technician – Basic
2240.0502,Emergency Medical Technician – Advanced
2240.9900,"Paramedical Practitioners, Other"
2250.0100,Animal Pathologist
2250.0200,"Veterinarian, General"
2250.0300,"Veterinarian, Surgeon"
2250.0400,Animal Genetist
2250.0500,Zoo Veterinarian
2250.0600,"Veterinarian, Poultry"
2250.9900,"Veterinarians, Other"
2261.0100,Dentist
2261.0200,Oral and Maxillofacial Surgeon
2261.0300,Orthodontist
2261.0400,Periodontist
2261.0500,Prosthodontist
2261.0600,Paediatric Dentist
2261.9900,"Dental Specialists, Other"
2262.0100,"Chemist, Pharmaceuticals"
2262.0101,"Chemist, Pharmaceuticals"
2263.0100,Health Officer
2263.0200,"Administrator, Hospital"
2263.9900,Environmental and Occupational Health and
2264.0100,Physiotherapist
2264.0200,Occupational Therapist
2264.0300,Chiropodist
2264.0400,Masseur
2264.0401,Sports Masseur
2264.9900,Physiotherapists and Related Associate
2265.0100,"Nutritionist, General"
2265.0200,"Dietician, General"
2265.0201,Dietician Assistant
2265.0300,Animal Nutritionist
2265.9900,"Dieticians and Nutritionists, Other"
2266.0100,Speech Therapist and Audiologist
2266.0200,Speech Pathologist
2266.0300,Voice Pathologist
2266.0401,Speech Language Pathologist and Audiologist
2267.9900,"Optometrists and Opticians, Other"
2269.0100,Naturopath
2269.0200,"Physician, Osteopathic"
2269.0300,"Physician, Sidha"
2269.0400,"Physicians and Surgeons, Other"
2269.0500,Orthotist  and Prosthetist
2269.0600,Orientation & Mobility Instructor
2269.0700,"Medical and Health Technicians, Other"
2310.0100,"University and College Teacher, Arts"
2310.0200,"University and College Teacher, Commerce"
2310.0300,"University and College Teacher, Management"
2310.0400,"University and College Teacher,"
2310.0500,"University and College Teacher,"
2310.0600,"University and College Teacher, Science"
2310.0700,"University and College Teacher, Engineering/"
2310.0800,"University and College Teacher, Information"
2310.0900,"University and College Teacher, Medicine and"
2310.1000,"University and College Teacher, Veterinary"
2310.1100,"University and College Teacher, Agricultural"
2310.1200,"University and College Teacher, Fine"
2310.9900,"Professors/Assistant Professors, Other"
2320.0101,Certified Training Assessor
2320.0102,Physical Security Trainer
2330.0100,"Senior Secondary and Secondary School Teacher,"
2330.0200,"Senior Secondary and Secondary School Teacher,"
2330.0300,"Senior Secondary and Secondary School Teacher,"
2330.0400,"Language Teacher, Senior Secondary and"
2330.9900,Senior Secondary and Secondary School
2341.0100,Middle School Teacher
2341.0200,"Language Teacher, Middle School"
2341.0400,Primary School Teacher
2341.9900,"Primary School Teachers, Other"
2342.0100,"Teacher, Infant School/Teacher Pre -Primary"
2342.9900,Pre-Primary Education Teaching Associate
2351.0100,School Inspector
2351.9900,"Education Methods Specialists, Other"
2352.0100,Teacher for Visually Impaired
2352.0200,Teac her for Hearing -Impaired
2352.0300,Teacher for Differently -Abled  (Mental)
2352.0400,Teacher for Differently -Abled  (Physical)
2352.9900,"Teacher for  Differently -Abled , Other"
2355.0100,Art Teacher
2355.9900,"Arts Teacher, Other"
2356.0100,Manual Training Teacher/Craft Instructor
2356.0301,Master Trainer for Junior Software Developer
2356.9900,"Information Technology Trainers, Other"
2359.0100,"Handwork Teacher/Teacher, Art and Craft"
2411.0100,Accountant
2411.0101,Associate – Transactional Finance & Accounting
2411.0200,Auditor
2411.0201,Associate – Finance & Accounting Complex
2411.0300,Cost Accountant
2412.0100,Financial Examiner
2412.0200,Financial Analyst
2412.0300,Budget Analyst
2412.0400,Risk Management Analyst
2412.0501,Agriculture Field Officer
2412.0600,Commission Agent
2412.9900,"Financial and Investment Advisors, Other"
2421.0101,Analyst – Research
2423.0100,Vocational Guidance Officer/Career Counsellors
2423.0101,Associate – Recruitment
2423.0200,Counsellor
2423.0500,Occupational Analyst
2423.9900,"Personal and Careers Professionals, Other"
2424.0100,"Manpower Officer/Area Manager, Human"
2424.0200,"Employment Officer/Operation Head,"
2424.0300,Human Resource Manager
2424.0401,Sales Training Manager
2424.0402,Sales/Service Trainer (Dealer)
2424.0501,Service Training Centre In -Charge
2424.0502,Field Service Trainer
2424.9900,"Training and Staff Development Professionals,"
2431.0100,Market Research Analyst
2431.0101,Regional Service Marketing Manager
2431.0102,Regional Service Process Manager
2431.0201,Product Brand Manager (Automotive)
2431.0202,Account Executive (Advertising Agency)
2431.0300,Caption Writer
2431.0400,Advertisement Writer
2431.0501,Market Research Associate – Sales &
2431.0502,Management Trainee – Sales &
2431.0503,Market Research Associate – Product  Marketing
2431.0504,Management Trainee – Product Marketing
2431.0601,Product Executive
2431.0651,Sales Executive (Media Org)
2431.0671,Traffic Co -Ordinator
2431.0700,Creative Writer
2431.0800,Propagandist
2431.9900,"Advertising and Marketing Professionals, Other"
2432.0100,Publicity Officer
2432.0200,Public Relations Officer
2432.0201,Digital Marketing/Social Media Manager
2432.0300,Information Officer
2432.9900,"Public Relations Professionals, Other"
2433.0101,Area Sales Officer
2433.0201,Medical Representative
2433.0301,Sales Executive – Medical Electronics
2433.0401,Sales Executive – Consumer Electronics
2433.0501,Sales Executive – Solar Electronics
2433.0601,Business Development Executive
2433.0700,"Field Officer, Insurance"
2434.0101,Sales and Pre -Sales Analyst
2434.0201,Sales/Pre -Sales Executive
2511.0100,System Analysts
2511.0101,Deployment Engineer
2511.0102,Engineer – Software Transition
2511.0103,Engineer – Packaging
2511.0104,Engineer – Product Lifecycle Management (PLM)
2511.0105,Analyst
2511.0106,Support Engineer
2511.9900,"System Analysts, Other"
2512.0100,Computer Programmer/Software Engineer
2512.0201,Software Engineer
2512.0202,Test Engineer – Software
2512.0203,Design Engineer(Product Engineer)
2512.0204,Software Developer – Application Development
2512.0205,Junior Software Developer
2512.0206,Engineer Trainee – IT Services
2512.0207,Engineer Trainee – Engineering Analysis
2512.0300,Programmer Analyst
2512.0301,Software Developer – Product Development and
2512.0401,FPGA Design Engineer
2512.0501,Embedded Software Engineer
2512.0601,Design Engineer – Engineering Analysis
2512.0701,Application Maintenance Engineer
2512.0800,"Programmer, Engineering and Scientific/System"
2513.0101,Web Developer
2513.0201,User Interface Developer
2513.0301,Media Developer – Product Development and
2513.0302,Media Developer – Application Development
2514.9900,"Computer Programmers, Other"
2519.0100,System Programmer
2519.0300,Quality Assurance Analyst (Computers)
2519.0301,Quality Assurance Engineer – IT Services
2519.0302,Test Engineer – IT Services
2519.0401,Quality Assurance Engineer – Software Products
2519.0402,Test Engineer – Software Products
2519.0501,Quality Engineer
2521.0100,Database Design Analyst
2521.0202,Junior Data Associate
2522.0100,Database Administrator
2522.0201,Security Analyst
2523.0100,Data Communication Analyst/Network
2523.0200,Computer System Hardware Analyst/Hardware
2523.0301,Tester/Test Engineer – Hardware
2523.0401,Design Engineer
2523.0501,Hardware Engineer
2523.9900,"Computer Network Professionals, Other"
2611.0100,Attorney General of India
2611.0200,Solicitor General of India
2611.0300,Advocate General
2611.0400,Legal Remembrancer
2611.0500,Government Advocate
2611.0600,Public Prosecutor
2611.0700,Police Prosecutor
2611.0800,Attorney at Law
2611.0900,Advocate
2611.1001,Intellectual Property Executive
2611.1002,Legal Associate
2611.9900,"Lawyers, Other"
2612.0100,"Judge, Supreme Court"
2612.0200,"Judge, High Court"
2612.0300,District and Session Judge
2612.0400,Munsif
2612.0500,"Judge, Subordinate Court"
2612.0600,Magistrate
2612.0700,"Magistrate, Juvenile Court"
2612.0800,"Chairman, Administrative Tribunal"
2612.0900,"Member, Administrative Tribunal"
2612.1000,"President, Industrial Tribunal"
2612.1100,"Member, Industrial Tribunal"
2612.1200,"President, Consumer Redressal Forum"
2612.1300,"Member, Consumer Redressal Forum"
2612.9900,"Judges and Magistrates, Other"
2619.0100,Prothonotary and Senior Master
2619.0200,"Registrar (Appellate Side, High Court)"
2619.0300,Registrar
2619.0400,Master Official Referee and Registrar in Equity
2619.0500,Taxing Master
2619.0600,Insolvency Registrar
2619.0700,Official Assignee (High Court)
2619.0800,Court Receiver and Liquidator
2619.0900,Sheriff
2619.1000,Coroner
2619.9900,"Legal Professionals, Other"
2621.0100,Archivist
2621.0200,Curator (Museum)
2621.0300,"Restorer, Painting"
2621.0400,"Restorer, Lace and Textile"
2621.0500,"Restorer, Ceramics"
2621.0600,"Restorer, Paper and Prints"
2621.0700,"Restorer, Furniture"
2621.9900,"Archivists and Curators, Other"
2622.0100,Librarian
2622.0200,Librarian (Film)
2622.0300,Tape Librarian/Librarian Digital/Librarian Media
2622.0500,News Librarian
2622.0601,Document Coder/Processor
2622.9900,"Librarians and Related Information Professionals,"
2631.0100,Economist
2631.0200,Energy Economist
2631.0300,Home Economist
2631.9900,"Economists, Other"
2632.0100,"Sociologist, General"
2632.0200,Social Ecologist
2632.0300,Clinical Sociologist
2632.0400,Demographer
2632.0500,Criminologists
2632.0600,Penologist
2632.0700,"Anthropologist, General"
2632.0800,"Anthropologist, Physical"
2632.0900,"Anthropologist, Cultural"
2632.1000,Genealogist
2632.1100,Archaeologist
2632.1200,Geographer
2632.9900,"Sociologists, Anthropologists and Related"
2633.0100,Historian
2633.0200,Biographer
2633.0300,Epigraphist
2633.0400,Numismatist
2633.0500,Philatelist
2633.0600,Political Scientist
2633.9900,"Philosophers, Historians and Political Scientists,"
2634.0100,Psychologist
2634.0200,Psychometrist
2634.0300,"Psychologist, Engineering"
2634.0400,"Psychologist, Educational"
2634.0500,"Psychologist, Social"
2634.0600,Clinical Psychologist
2634.0700,Industrial – Organizational Psychologist
2634.0800,"Psychologist, Counselling"
2634.9900,"Psychologists, Other"
2635.0100,Labour Welfare Officer
2635.0200,Women’s Welfare Officer
2635.0300,Probation Officer
2635.0400,Medical Social Worker
2635.0500,Child and Family Social Worker
2635.0600,Health Educator
2635.0700,Women’s Welfare Organizer
2635.0800,Child Welfare Organizer
2635.0900,Family Planning Organizer
2635.1000,Vocational Rehabilitation Counsellor
2635.1100,"Counsellor, Marriage and Family"
2635.9900,"Social Work Professionals, Other"
2636.0100,Priest
2636.0200,Purohit
2636.9900,Ordained Religious and Non -Ordained Religious
2641.0100,Author
2641.0200,Critic
2641.0300,Editor
2641.0302,Script Editor
2641.0400,Sub-Editor
2641.0500,Poet
2641.0601,Script Writer
2641.0602,Script Researcher
2641.0701,Associate – Editorial
2641.0801,Associate – Learning
2641.0901,Technical Writer – Product Documentation
2641.0902,Technical Writer – Application Development
2641.0903,Technical Writer – Technical Documentation/
2641.9900,"Authors, Journalists and  Other Writers"
2642.0100,News Reporter
2642.0200,Columnist
2642.0300,Freelance Journalist
2642.0400,Commentary Writer
2642.0500,Radio Commentator
2642.0600,Commentator (Motion Picture)
2643.0100,Language Specialist
2643.0200,Translator
2643.0300,Interpreter
2643.0401,Language Translator – Software Products
2643.0402,Language Translator – IT Services
2643.9900,"Philologists, Translators and Interpreters, Other"
2651.0100,Sculptor
